Solver, Instance, Result
ParLS-PBO, chromaticindex1024-7.opb, 4.0
V1, chromaticindex1024-7.opb, 4.0
V2, chromaticindex1024-7.opb, 4.0
ParLS-PBO(4 thread), chromaticindex1024-7.opb, 4.0
ParLS-PBO(8 thread), chromaticindex1024-7.opb, 4.0
ParLS-PBO(16 thread), chromaticindex1024-7.opb, 4.0
LS-PBO, chromaticindex128-5.opb, 4.0
DeciLS-PBO, chromaticindex128-5.opb, 4.0
PBO-IHS, chromaticindex128-5.opb, 4.0
Hybrid, chromaticindex128-5.opb, 4.0
SCIP, chromaticindex128-5.opb, 4.0
